FileName	Finglish	Persian
common_voice_fa_18202356.mp3	az ham joda shodan kheili sakhteh.	از هم جداشدن خيلي سخته
common_voice_fa_18202357.mp3	baleh motmaen bashid hastam.	بله ، مطمئن باشيد هستم
common_voice_fa_18202375.mp3	ma mard hayeh awli naboudim.	.ما مردهاي عالي نبوديم
common_voice_fa_18202376.mp3	zod bash bego, hameh ro daran mikoshan, alaneh ke beresan, sedayeh zarbeh hay mohkam be dar khaneh be goush miresad.	زود باش بگو. همه رو دارن میکشن الانه که برسن. صدای ضربه های محکم به در خانه به گوش میرسد
common_voice_fa_18202377.mp3	khodet ke midouni chi misheh.	خودت که ميدوني چي ميشه
common_voice_fa_18202378.mp3	vaseh har doumoun roshan misheh.	واسه هردومون راحت باشه
common_voice_fa_18202379.mp3	are rast migeh, vaseh hamineh in douta rou hamash rouye in badbakhta azmayesh mikonan.	آره. راست میگه. واسه همینه این دکترا همش روی این بدبختا آزمایش می کنن.
common_voice_fa_18202385.mp3	mesleh richer tou dabirestaneh.	!مثل ريچل تو دبيرستانه
common_voice_fa_18202387.mp3	barayeh bazi ba kayla lazem boud ta barnameh ra download namayi ta be hameyeh vijegi hayeh un dastresi peyda koni.	برای بازی با کایلا، لازم بود برنامهای را دانلود نمایید تا به همه ویژگیهای آن دسترسی پیدا کنید
common_voice_fa_18202390.mp3	eyneh sorakheh moush mimouneh.	عين سوراخ موش مي مونه
common_voice_fa_18202391.mp3	be feshar dadan edameh bedeh.	به فشار دادن ادامه بده
common_voice_fa_18202393.mp3	jasadeh mazbour ra dar bishei ke dar goudi kouhestan ghrar darad peyda kardam.	جسد مزبور را در بیشهای که در گودی کوهستان قرار دارد پیدا کردم.
common_voice_fa_18202395.mp3	baad migan bajehatoun ro befrestin daneshgah mifarmoudin aziz joun.	بعد می گن بچه هاتون رو بفرستین دانشگاه.می فرمودید عزیز جون.
common_voice_fa_18202397.mp3	chera bayad in kar ro bokonam.	چرا بايد اونکارو بکنم؟
common_voice_fa_18202399.mp3	az ou porsidam, chegouneh be inja residi?	از او پرسیدم چگونه به اینجا رسیدی؟
common_voice_fa_18202401.mp3	hichi nagoft.	هیچچی نگفتم
common_voice_fa_18202403.mp3	pish khedmati ke lokht shood.	.پيش خدمتي که لخت شد
common_voice_fa_18202405.mp3	khoda ro shokr ke iran injouri nist va gar na alan hamamoun bajehayeh talagh boudim	خداروشکر که ایران اینجوری نیست وگرنه الان هممون بچه ی طلاق بودیم
common_voice_fa_18202406.mp3	digeh nemisheh az agha chizi khast ke.	دیگه نمیشه از آقاچیزی خواست که
common_voice_fa_18202408.mp3	man ghahraman nabard nahaei am?	من قهرمان نبرد نهائيم؟
common_voice_fa_18202410.mp3	shavahed dast nakhourdeh va hamzaman arzesh tala darad.	شواهد دستنخورده و همزمان ارزش طلا دارد
common_voice_fa_18202412.mp3	hameh az ghaza khosheshan amad.	همه از غذا خوششون اومد
common_voice_fa_18202425.mp3	motmaenan ekhrajet mikonam.	!مطمئناً اخراجت مي کنم
common_voice_fa_18202427.mp3	dastat ra ghalam mikonam agar dast be un cake bezani.	دستتو قلم می کنم اگه دست به اون کیک بزنی.
common_voice_fa_18202428.mp3	chera ba tamam azadie ke dar un keshvar ha hast baz ham tajavouz mishe.	چرا باتمام آزادی که تو اون کشورها هست بازم تجاوز میشه؟
common_voice_fa_18202429.mp3	inja hayat moshref darad moazab mishavam unjouri.	اینجا حیاطه مشرف داره معذب می شم اونجوری.
common_voice_fa_18202442.mp3	digar dashtam tam vagheiy zemestan ra faramoush mikardam ke in barf khoushgel amad.	دیگه داشتم طعم واقعی زمستون رو فراموش میکردم که این برف خوشگل اومد
common_voice_fa_18202444.mp3	azizam behtaere har bioftim.	عزيزم بهتره راه بيفتيم
common_voice_fa_18202446.mp3	khoda zalil konad in poul ro ke najes tar az in man nadidam tou donya.	خدا ذلیل کنه این پول رو که نجس تر از این من ندیدم تو دنیا.
common_voice_fa_18202448.mp3	bayad inghadr boland bashad?	بايد اينقدر بلند باشه؟
common_voice_fa_18202449.mp3	misheh hasan hamrah ma biad?	میشه حسن همراهمون بیاد؟
common_voice_fa_18202450.mp3	man ba saeed khob  bodam.	من با سعید خوب بودم
common_voice_fa_18202451.mp3	tamami in mavared dar doyaye emrouz etefagh mioftad.	تمامی این موارد در دنیای امروز اتفاق میافتد
common_voice_fa_18202453.mp3	digar az rouzi ke rafti hata khabat ra ham nadideh am.	دیگه از روزی که رفتی حتی خوابتم ندیدم
common_voice_fa_18202454.mp3	intouri ham digar ra seda mizanim.	اینطوری همدیگه رو صدا بزنیم
common_voice_fa_18202455.mp3	salam refigh hamash rou nakhour.	سلام، رفیق همشو نخور
common_voice_fa_18202456.mp3	elias agar najounbi babr ha mikhouranat.	الیاس، اگه نجنبی، ببرا می خورنت
common_voice_fa_18202460.mp3	mesleh sousmar khatel va kheyreh.	مثل سوسمار قاتل و غيره
common_voice_fa_18202461.mp3	in bayad kheili sakht basheh.	اين بايد خيلي سخت باشه
common_voice_fa_18202462.mp3	ageh gharar boud kharizeh aadi besheh chera zan barayeh shooharash aadi nemishavad.	اگه قرار بود غریزه عادی بشه چرا زن برای شوهرش عادی نمیشه؟
common_voice_fa_18202463.mp3	choun on naghsh kheili khoubeh.	چون اون نقش خيلي خوبه
common_voice_fa_18202464.mp3	omid behtar ast behesh begouim yek nafar parandeh ra gereft chetoure?	امید،بهتره بهش بگیم یه نفر پرنده رو گرفت،چطوره؟
common_voice_fa_18202465.mp3	amadin hosein ra nejat bedin?	اومدین حسن رو نجات بدین؟
common_voice_fa_18202466.mp3	faghat ye jast o ghiz bouzourg.	فقط يه جست و خيز بزرگ
