Finglish	Persian
az ham joda shodan kheili sakhteh.	از هم جداشدن خيلي سخته
baleh motmaen bashid hastam.	بله ، مطمئن باشيد هستم
ma mard hayeh awli naboudim.	.ما مردهاي عالي نبوديم
zod bash bego, hameh ro daran mikoshan, alaneh ke beresan, sedayeh zarbeh hay mohkam be dar khaneh be goush miresad.	زود باش بگو. همه رو دارن میکشن الانه که برسن. صدای ضربه های محکم به در خانه به گوش میرسد
khodet ke midouni chi misheh.	خودت که ميدوني چي ميشه
vaseh har doumoun roshan misheh.	واسه هردومون راحت باشه
are rast migeh, vaseh hamineh in douta rou hamash rouye in badbakhta azmayesh mikonan.	آره. راست میگه. واسه همینه این دکترا همش روی این بدبختا آزمایش می کنن.
mesleh richer tou dabirestaneh.	!مثل ريچل تو دبيرستانه
barayeh bazi ba kayla lazem boud ta barnameh ra download namayi ta be hameyeh vijegi hayeh un dastresi peyda koni.	برای بازی با کایلا، لازم بود برنامهای را دانلود نمایید تا به همه ویژگیهای آن دسترسی پیدا کنید
eyneh sorakheh moush mimouneh.	عين سوراخ موش مي مونه
be feshar dadan edameh bedeh.	به فشار دادن ادامه بده
jasadeh mazbour ra dar bishei ke dar goudi kouhestan ghrar darad peyda kardam.	جسد مزبور را در بیشهای که در گودی کوهستان قرار دارد پیدا کردم.
baad migan bajehatoun ro befrestin daneshgah mifarmoudin aziz joun.	بعد می گن بچه هاتون رو بفرستین دانشگاه.می فرمودید عزیز جون.
chera bayad in kar ro bokonam.	چرا بايد اونکارو بکنم؟
az ou porsidam, chegouneh be inja residi?	از او پرسیدم چگونه به اینجا رسیدی؟
hichi nagoft.	هیچچی نگفتم
pish khedmati ke lokht shood.	.پيش خدمتي که لخت شد
khoda ro shokr ke iran injouri nist va gar na alan hamamoun bajehayeh talagh boudim	خداروشکر که ایران اینجوری نیست وگرنه الان هممون بچه ی طلاق بودیم
digeh nemisheh az agha chizi khast ke.	دیگه نمیشه از آقاچیزی خواست که
man ghahraman nabard nahaei am?	من قهرمان نبرد نهائيم؟
shavahed dast nakhourdeh va hamzaman arzesh tala darad.	شواهد دستنخورده و همزمان ارزش طلا دارد
hameh az ghaza khosheshan amad.	همه از غذا خوششون اومد
motmaenan ekhrajet mikonam.	!مطمئناً اخراجت مي کنم
dastat ra ghalam mikonam agar dast be un cake bezani.	دستتو قلم می کنم اگه دست به اون کیک بزنی.
chera ba tamam azadie ke dar un keshvar ha hast baz ham tajavouz mishe.	چرا باتمام آزادی که تو اون کشورها هست بازم تجاوز میشه؟
inja hayat moshref darad moazab mishavam unjouri.	اینجا حیاطه مشرف داره معذب می شم اونجوری.
digar dashtam tam vagheiy zemestan ra faramoush mikardam ke in barf khoushgel amad.	دیگه داشتم طعم واقعی زمستون رو فراموش میکردم که این برف خوشگل اومد
azizam behtaere har bioftim.	عزيزم بهتره راه بيفتيم
khoda zalil konad in poul ro ke najes tar az in man nadidam tou donya.	خدا ذلیل کنه این پول رو که نجس تر از این من ندیدم تو دنیا.
bayad inghadr boland bashad?	بايد اينقدر بلند باشه؟
misheh hasan hamrah ma biad?	میشه حسن همراهمون بیاد؟
man ba saeed khob  bodam.	من با سعید خوب بودم
tamami in mavared dar doyaye emrouz etefagh mioftad.	تمامی این موارد در دنیای امروز اتفاق میافتد
digar az rouzi ke rafti hata khabat ra ham nadideh am.	دیگه از روزی که رفتی حتی خوابتم ندیدم
